index,Year,Quarter,LocationAbbr,LocationDesc,HealthTopic,PolicyTopic,DataSource,Setting,Title,Status,Citation,StatusAltValue
1574,2011,1,AR,Arkansas,Nutrition,Fruits and Vegetables,DNPAO,Restaurant/Retail,Cottage Food and Farmers Market Permit Exemptions,Enacted,H1323,1
1575,2010,1,RI,Rhode Island,Obesity,Appropriations,DNPAO,Community,Motor and Other Vehicles,Dead,H7103,3
1576,2010,1,WV,West Virginia,Nutrition,Farm Direct Foods,DNPAO,Community,Budget Bill,Enacted,S213,1
1577,2011,1,NH,New Hampshire,Nutrition,Medical Care,DNPAO,Community,Bicycle Lighting,Dead,LSR2599,3
1578,2009,1,NY,New York,Physical Activity,Appropriations,DNPAO,Community,Senior Benefits Card Program,Dead,A1711,3
1579,2011,1,HI,Hawaii,Physical Activity,Pedestrians/Walking,DNPAO,Work Place,Tax Credits,Dead,H409,3
1580,2010,1,FL,Florida,Physical Activity,School Siting,DNPAO,School/After School,Public K 12 School Siting,Dead,S1602,3
1581,2011,1,AR,Arkansas,Obesity,Appropriations,DNPAO,School/After School,Appropriation to the Department of Human Services,Enacted,S581,1
1582,2010,1,MD,Maryland,Physical Activity,Pedestrians/Walking,DNPAO,Community,Vehicle Laws,Dead,H1193,3
1583,2011,1,MD,Maryland,Physical Activity,Incentives,DNPAO,School/After School,Maryland Combating Childhood Obesity Grant Program,Dead,H716,3
1584,2005,1,KS,Kansas,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Food and Beverages Available to Students,Enacted,S154,1
1585,2010,1,IA,Iowa,Physical Activity,Pedestrians/Walking,DNPAO,Community,Natural Resources,Dead,SSB3198,3
1586,2005,1,CA,California,Physical Activity,Public Safety,DNPAO,Work Place,Senate Concurrent resolution                 <br>,Enacted,SCR90,1
1587,2010,1,ME,Maine,Obesity,Body Mass Index (BMI),DNPAO,Community,Rules for the Transportation Planning Incentive Program,Enacted,R9605,1
1588,2010,1,FL,Florida,Physical Activity,Signage for Recreation and Transportation,DNPAO,Community,Spring Lake Improvement District Highlands County,Enacted,H1487,1
1589,2009,1,MO,Missouri,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Physical Activity Requirements,Dead,H1008,3
1590,2009,1,MA,Massachusetts,Nutrition,Farm Direct Foods,DNPAO,Community,Farm Produce to Needy Persons,Dead,HD1387,3
1591,2010,1,OR,Oregon,Nutrition,Farm Direct Foods,DNPAO,Community,Senior Farm Direct Nutrition Program,Enacted,R31659,1
1592,2009,1,MO,Missouri,Obesity,Food Restrictions,DNPAO,Community,State and Local Sales Tax Exemption,Dead,S380,3
1593,2009,1,IL,Illinois,Nutrition,Food Assistance Programs,DNPAO,Community,Health Facility Planning,Enacted,S1905,1
1594,2011,1,ME,Maine,Obesity,Food Restrictions,DNPAO,Community,Farm and Fish School Program,Dead,LR585,3
1595,2011,1,MN,Minnesota,Obesity,Sugar Sweetened Beverages,DNPAO,Community,Government,Dead,H519,3
1596,2009,1,ID,Idaho,Obesity,Appropriations,DNPAO,Medical and/or Hospital,Detoxification/Mental Health Diversion Units,Enacted,R8285,1
1597,2011,1,OH,Ohio,Nutrition,Incentives,DNPAO,Community,Underserved Community Grocery Store Tax Credits,Dead,S47,3
1598,2009,1,OH,Ohio,Obesity,Appropriations,DNPAO,School/After School,Transportation Innovation Authorities,Dead,H166,3
1599,2009,1,MA,Massachusetts,Obesity,Food Restrictions,DNPAO,School/After School,Governor Fiscal Year 2010 Budget,Dead,H4100,3
1600,2011,1,AZ,Arizona,Obesity,Body Mass Index (BMI),DNPAO,Community,Municipal Tax Increment Financing and Infrastructure,Dead,H2712,3
1601,2009,1,MN,Minnesota,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Human Services,Dead,S583,3
1602,2011,1,NY,New York,Physical Activity,Physical Activity Requirements,DNPAO,School/After School,Use of School Facilities,Dead,A5354,3
1603,2012,1,ID,Idaho,Obesity,Initiatives and Programs,DNPAO,Medical and/or Hospital,Medicaid Basic Plan Benefits <br>,Enacted,8699,1
1604,2003,1,CA,California,Nutrition,Farm Direct Foods,DNPAO,School/After School,School District Governing Boards: Contracts,Enacted,SB64,1
1605,2011,1,MT,Montana,Nutrition,Food Security,DNPAO,School/After School,Study on Reducing Childhood Hunger,Enacted,HJR8,1
1606,2011,1,NY,New York,Nutrition,Appropriations,DNPAO,Restaurant/Retail,Retail Farm Operations,Dead,S793,3
1607,2011,1,WA,Washington,Physical Activity,Public Transportation,DNPAO,Community,Additive Transportation Funding,Dead,S5925,3
1608,2009,1,TX,Texas,Nutrition,Food Assistance Programs,DNPAO,Community,Child Nutritious Food Access,Dead,S944,3
1609,2011,1,MS,Mississippi,Nutrition,Fruits and Vegetables,DNPAO,Restaurant/Retail,Healthy Foods,Enacted,H1170,1
1610,2011,1,AL,Alabama,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Physical Education in Schools,Dead,S331,3
1611,2010,1,WV,West Virginia,Obesity,Appropriations,DNPAO,Community,Joint Committee On Government And Finance,Dead,SCR62,3
1612,2010,1,DC,District of Columbia,Obesity,Disparities/Equity,DNPAO,School/After School,Community Schools Incentive,Dead,B771,3
1613,2005,1,MD,Maryland,Obesity,Appropriations,DNPAO,Community,Vehicle Laws,Enacted,S551,1
1614,2011,1,TN,Tennessee,Physical Activity,Bicycling,DNPAO,Community,Recreational Areas,Dead,H358,3
1615,2011,1,AL,Alabama,Obesity,Body Mass Index (BMI),DNPAO,Community,Street Safety and Safe Access,Dead,H342,3
1616,2008,1,TX,Texas,Obesity,Appropriations,DNPAO,Community,Community Development,Enacted,R14997,1
1617,2010,1,IL,Illinois,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Farmers Market Technology Improvement Program,Enacted,H4756,1
1618,2010,1,MA,Massachusetts,Nutrition,Agriculture and Farming,DNPAO,School/After School,Food Policy Council,Enacted,H4568,1
1619,2013,1,ME,Maine,Nutrition,Nutrition Standards,DNPAO,Community,Request for Waiver,Dead,SB505,3
1620,2009,1,AR,Arkansas,Nutrition,Medical Care,DNPAO,Community,Community Enhancement Grant Application,Enacted,R5600,1
1621,2010,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Community,Prohibited Food Stamp Purchases,Dead,A10965,3
1622,2011,1,DE,Delaware,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Department of Transportation Study,Enacted,SCR13,1
1623,2010,1,MA,Massachusetts,Obesity,Food Restrictions,DNPAO,School/After School,School Nutrition,Dead,H4438,3
1624,2010,1,DC,District of Columbia,Obesity,Marketing Restrictions,DNPAO,Community,Budget Support Congressional Review,Enacted,B583,1
1625,2009,1,PA,Pennsylvania,Obesity,Appropriations,DNPAO,School/After School,Education Code,Dead,H1572,3
1626,2013,1,MA,Massachusetts,Nutrition,Initiatives and Programs,DNPAO,School/After School,An act relative to healthy kids,Introduced,HB478,0
1627,2011,1,OR,Oregon,Obesity,Food Restrictions,DNPAO,Restaurant/Retail,Warning Label Requirement on High Calorie Beverages,Dead,H3223,3
1628,2011,1,IA,Iowa,Nutrition,Agriculture and Farming,DNPAO,Community,Federal and Other Nonstate Funding,Enacted,S508,1
1629,2011,1,OR,Oregon,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Supplemental Assistance,Dead,H2974,3
1630,2013,1,HI,Hawaii,Nutrition,Initiatives and Programs,DNPAO,Community,Relating to Food Self-Sufficiency,Introduced,HB1184,0
1631,2009,1,CA,California,Physical Activity,Public Transportation,DNPAO,School/After School,Budget Act of 2009,Dead,S47,3
1632,2007,1,CA,California,Physical Activity,Appropriations,DNPAO,Community,Highways: Federal Funds: Safe Routes to School,Enacted,A57,1
1633,2010,1,IA,Iowa,Nutrition,Appropriations,DNPAO,Community,Block Grants,Enacted,H2519,1
1634,2011,1,CA,California,Nutrition,Medical Care,DNPAO,Community,Local Development,Dead,S310,3
1635,2011,1,KS,Kansas,Nutrition,Access to Healthy Foods,DNPAO,School/After School,Obesity Prevention Council,Dead,H2255,3
1636,2010,1,NJ,New Jersey,Nutrition,Agriculture and Farming,DNPAO,Community,Milk Coupons,Dead,A2431,3
1637,2009,1,VT,Vermont,Nutrition,Appropriations,DNPAO,School/After School,Economic Development,Dead,H231,3
1638,2009,1,ME,Maine,Nutrition,Agriculture and Farming,DNPAO,Community,Food Stamped Local Produce,Dead,LR775,3
1639,2011,1,LA,Louisiana,Nutrition,Nutrition Standards,DNPAO,Community,Supplemental Nutrition Assistance Program Education,Enacted,H194,1
1640,2015,1,NY,New York,Obesity,Access to Drinking Water,DNPAO,Community,Sweetened Beverage Tax Law,Introduced,AB5945,0
1641,2009,1,SC,South Carolina,Nutrition,Trans Fats,DNPAO,Restaurant/Retail,Trans Fats,Dead,S50,3
1642,2011,1,WA,Washington,Nutrition,Access to Healthy Foods,DNPAO,Work Place,State Agency Food Purchasing Policy,Dead,S5653,3
1643,2011,1,IA,Iowa,Obesity,Appropriations,DNPAO,Community,Automated Traffic Enforcement System,Dead,S378,3
1644,2013,1,RI,Rhode Island,Obesity,Initiatives and Programs,DNPAO,Work Place,An Act Relating to Taxation,Introduced,SB751,0
1645,2001,1,CT,Connecticut,Nutrition,Access to Healthy Foods,DNPAO,Community,An Act Concerning Appropriations<br>,Enacted,H7603D,1
1646,2011,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Tax Increment Bonds Payable From Real Property Taxes Le,Dead,A5296,3
1647,2011,1,FL,Florida,Physical Activity,Bicycling,DNPAO,Community,Use of Wireless Communications Devices and Driving,Dead,S158,3
1648,2010,1,PA,Pennsylvania,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,National Fresh Food Financing Initiative,Enacted,HR728,1
1649,2009,1,NY,New York,Physical Activity,Bicycling,DNPAO,Community,Safe Access to Public Roads,Dead,S5711,3
1650,2005,1,CA,California,Nutrition,Initiatives and Programs,DNPAO,Restaurant/Retail,Senate Concurrent resolution                 <br>,Enacted,SCR90,1
1651,2011,1,MN,Minnesota,Obesity,Appropriations,DNPAO,Community,Trunk Highway Fund Expenditures Report,Dead,S920,3
1652,2009,1,MN,Minnesota,Obesity,Body Mass Index (BMI),DNPAO,Community,Financing of State and Local Government,Dead,S3327,3
1653,2001,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Physical Injury Accident Reporting,Enacted,A235,1
1654,2010,1,LA,Louisiana,Obesity,Appropriations,DNPAO,Community,Pubic Use Near Levees,Enacted,H494,1
1655,2007,1,ND,North Dakota,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Physical Education Instruction,Enacted,S2354,1
1656,2003,1,PA,Pennsylvania,Nutrition,Disparities/Equity,DNPAO,Community,House Resolution<br>,Enacted,HR13,1
1657,2012,3,MA,Massachusetts,Physical Activity,Pedestrians/Walking,DNPAO,Community,Infrastructure Investment,Dead,H4352,3
1658,2012,1,IL,Illinois,Nutrition,Initiatives and Programs,DNPAO,School/After School,Resolution,Enacted,HR783,1
1659,2011,1,KY,Kentucky,Nutrition,Appropriations,DNPAO,School/After School,Body Mass Index on School Physical Exam Forms,Dead,H89,3
1660,2009,1,MO,Missouri,Nutrition,Incentives,DNPAO,Community,Healthy Food Pilot Program,Dead,H32,3
1661,2011,1,NY,New York,Nutrition,Food Assistance Programs,DNPAO,Work Place,Cooperative Agreements for Personnel Services,Dead,A6079,3
1662,2009,1,MA,Massachusetts,Nutrition,Agriculture and Farming,DNPAO,Community,School Nutrition,Dead,HD638,3
1663,2010,1,NV,Nevada,Nutrition,Appropriations,DNPAO,Community,Funding of State and Local Government,Enacted,A6b,1
1664,2011,1,HI,Hawaii,Nutrition,Appropriations,DNPAO,Community,General Excise Tax,Dead,S852,3
1665,2012,1,MI,Michigan,Nutrition,Initiatives and Programs,DNPAO,School/After School,An Act to Establish a Grant Program for the Purchase of Local Farm Products by Schools<br>,Enacted,H5506,1
1666,2010,1,OH,Ohio,Nutrition,Farm Direct Foods,DNPAO,Restaurant/Retail,Farmer's Authorization,Enacted,R15517,1
1667,2010,1,NC,North Carolina,Nutrition,Farmers Markets,DNPAO,Community,Department of Health and Human Services,Dead,S1288,3
1668,2011,1,AR,Arkansas,Nutrition,Correctional Facilities Farms Programs,DNPAO,Community,Corrections Facilities Appropriation,Enacted,H1518,1
1669,2012,1,NJ,New Jersey,Nutrition,Initiatives and Programs,DNPAO,Community,New Jersey fresh mobiles pilot program act<br>,Enacted,A3688,1
1670,2010,1,CT,Connecticut,Obesity,Appropriations,DNPAO,School/After School,High School Graduation Requirements,Dead,H5165,3
1671,2010,1,DC,District of Columbia,Nutrition,Farmers Markets,DNPAO,Community,Budget Support Congressional Review,Enacted,B583,1
1672,2011,1,PA,Pennsylvania,Nutrition,Appropriations,DNPAO,School/After School,School Foods Reform,Dead,H1724,3
1673,2009,1,NY,New York,Nutrition,Task Forces/Councils,DNPAO,Community,Office Of Nutrition And Fitness,Dead,S2275,3
1674,2007,1,AR,Arkansas,Nutrition,Incentives,DNPAO,Community,Department of Finance and Administration,Enacted,S719,1
1675,2009,1,NM,New Mexico,Physical Activity,Disparities/Equity,DNPAO,Community,Bicycle Program,Dead,H402,3
1676,2009,1,NJ,New Jersey,Physical Activity,Disparities/Equity,DNPAO,Community,Council on Affordable Housing,Enacted,R18954,1
1677,2007,1,NC,North Carolina,Nutrition,Agriculture and Farming,DNPAO,Work Place,2007 Appropriation Act,Enacted,H1473,1
1678,2011,1,CA,California,Nutrition,Fruits and Vegetables,DNPAO,School/After School,An Act Related to Pupil Nutrition<br>,Dead,A909,3
1679,2010,1,MA,Massachusetts,Physical Activity,Pedestrians/Walking,DNPAO,Community,Arlington Route 60 Safety Study,Dead,H4556,3
1680,2011,1,NY,New York,Nutrition,Task Forces/Councils,DNPAO,Community,Establishing a Community Garden Task Force<br>,Dead,S4906,3
1681,2010,1,SC,South Carolina,Nutrition,Incentives,DNPAO,Restaurant/Retail,Sweetened Beverage Tax Act,Dead,H4831,3
1682,2010,1,NJ,New Jersey,Obesity,Menu Labeling,DNPAO,School/After School,School Food and Beverage Nutritional Information,Dead,S1373,3
1683,2010,1,DE,Delaware,Obesity,Appropriations,DNPAO,School/After School,State Appropriations,Enacted,S310,1
1684,2011,1,HI,Hawaii,Nutrition,Disparities/Equity,DNPAO,Restaurant/Retail,Senior Citizens,Dead,H180,3
1685,2011,1,NM,New Mexico,Obesity,Body Mass Index (BMI),DNPAO,Medical and/or Hospital,Public Employees and Wellness Incentives,Dead,H540,3
1686,2010,1,VT,Vermont,Obesity,Appropriations,DNPAO,Community,Historic Downtown Development,Enacted,S64,1
1687,2011,1,CA,California,Physical Activity,Bicycling,DNPAO,Community,North Coast Corridor Project: HOV Toll Lanes,Dead,S468,3
1688,2010,1,HI,Hawaii,Physical Activity,Pedestrians/Walking,DNPAO,School/After School,Walk and Bike School Bus Programs,Dead,HCR159,3
1689,2011,1,CA,California,Obesity,Appropriations,DNPAO,Restaurant/Retail,Retail Food Facilities: Toys and Incentives,Dead,A1100,3
1690,2010,1,NJ,New Jersey,Obesity,Appropriations,DNPAO,Community,Local Streets Speed Limits,Dead,A884,3
1691,2011,1,RI,Rhode Island,Physical Activity,Bicycling,DNPAO,Community,State Affairs and Government,Dead,H5821,3
1692,2011,1,TX,Texas,Nutrition,Incentives,DNPAO,Work Place,Interagency Obesity Council,Dead,S1454,3
1693,2010,1,AZ,Arizona,Nutrition,Healthier Food Retail and Food Deserts,DNPAO,Community,Sales Tax for Candy and Soft Drinks,Dead,S1252,3
1694,2009,1,TX,Texas,Nutrition,Appropriations,DNPAO,Community,Fresh Produce Availability Program,Dead,H482,3
1695,2010,1,GA,Georgia,Nutrition,Medical Care,DNPAO,Community,Private Driveways,Dead,H965,3
1696,2015,1,MA,Massachusetts,Obesity,Appropriations,DNPAO,School/After School,An Act to Reduce Childhood Obesity,Introduced,HB2575,0
1697,2008,1,WA,Washington,Nutrition,Access to Healthy Foods,DNPAO,Community,Farmers Market Nutrition Program (FMNP)),Enacted,R28422,1
1698,2011,1,ME,Maine,Physical Activity,Bicycling,DNPAO,Community,Commuter and Passenger Rail Transportation,Dead,H976,3
1699,2010,1,PA,Pennsylvania,Physical Activity,Public Transportation,DNPAO,Community,Public Private Transportation Partnership,Dead,H9a,3
1700,2011,1,IN,Indiana,Nutrition,Access to Healthy Foods,DNPAO,Community,Local Food and Farm Task Force,Dead,H1375,3
1701,2008,1,VA,Virginia,Physical Activity,Built Environment and Street-Scale Design,DNPAO,Community,Pedestrians and Drivers,Dead,H2520,3
1702,2010,1,HI,Hawaii,Nutrition,Access to Healthy Foods,DNPAO,Restaurant/Retail,Nutritious Meal Programs,Dead,SCR181,3
1703,2009,1,IL,Illinois,Nutrition,Appropriations,DNPAO,Community,Local Food Production Act,Dead,H960,3
1704,2013,1,MA,Massachusetts,Physical Activity,Appropriations,DNPAO,Community,"""An Act Providing for the Preservation and Improvement of Land, Parks and Clean Energy in the Commonwealth""",Introduced,HB3332,0
1705,2010,1,DC,District of Columbia,Obesity,Appropriations,DNPAO,Community,YMCA Project Tax Abatement Implementation,Enacted,B919,1
1706,2009,1,NM,New Mexico,Physical Activity,Disparities/Equity,DNPAO,Community,Community Bicycle Recycling,Dead,H281,3
1707,2009,1,CA,California,Obesity,Food Restrictions,DNPAO,Community,Budget Act of 2009,Dead,S47,3
1708,2008,1,FL,Florida,Physical Activity,Public Transportation,DNPAO,Community,Energy,Enacted,H7135,1
1709,2010,1,MI,Michigan,Nutrition,Food Assistance Programs,DNPAO,Medical and/or Hospital,Guaranteed Issue Health Plans,Dead,S1245,3
1710,2009,1,PA,Pennsylvania,Physical Activity,Public Safety,DNPAO,Community,Keystone Opportunity Zone,Dead,S1287,3
1711,2011,1,MA,Massachusetts,Physical Activity,Physical Education Requirements,DNPAO,School/After School,Quality Physical Education,Dead,S216,3
1712,2011,1,TX,Texas,Obesity,Liability and Indemnity,DNPAO,Community,Sweetened Beverages Tax,Dead,H2214,3
1713,2011,1,NY,New York,Physical Activity,Bicycling,DNPAO,Community,Executive Law,Dead,S1044,3
1714,2011,1,KY,Kentucky,Nutrition,Farmers Markets,DNPAO,Restaurant/Retail,Legislative Resolution,Dead,HCR98,3
1715,2011,1,IL,Illinois,Nutrition,Access to Healthy Foods,DNPAO,Community,School Code,Dead,S1795,3
1716,2011,1,NC,North Carolina,Nutrition,Fruits and Vegetables,DNPAO,School/After School,Healthy Schools Act,Dead,H840,3
1717,2011,1,AR,Arkansas,Physical Activity,Appropriations,DNPAO,Community,Economic Development Commission,Enacted,S110,1
1718,2011,1,NY,New York,Obesity,Appropriations,DNPAO,Community,Urban Commercial Redevelopment Action Areas,Dead,S2658,3
1719,2011,1,RI,Rhode Island,Nutrition,School Nutrition,DNPAO,Community,State Affairs and Government,Enacted,H5633,1
1720,2009,1,NY,New York,Obesity,Appropriations,DNPAO,School/After School,Education Department to Make Annual Report,Vetoed,S2485,2
1721,2011,1,CA,California,Nutrition,Appropriations,DNPAO,Restaurant/Retail,State Planning,Dead,A441,3
1722,2011,1,TX,Texas,Nutrition,Trans Fats,DNPAO,Work Place,Creation of the Employee Wellness Program,Dead,H3493,3
1723,2010,1,CA,California,Obesity,Disparities/Equity,DNPAO,School/After School,Education: Physical Education,Dead,A2705,3
